pos_rank,file,time
1,2051.txt,0 days 00:00:00.397537000
1,2057.txt,0 days 00:00:00.219058000
1,2092.txt,0 days 00:00:00.463041000
12,2087.txt,0 days 00:00:00.326175000
13,1808.txt,0 days 00:00:00.120232000
298,1763.txt,0 days 00:00:00.671855000
1,1985.txt,0 days 00:00:00.277481000
338,1799.txt,0 days 00:00:00.408039000
1,1505.txt,0 days 00:00:00.217212000
1,2117.txt,0 days 00:00:00.446665000
1,1533.txt,0 days 00:00:00.330727000
1,2061.txt,0 days 00:00:00.366809000
22,1784.txt,0 days 00:00:00.162564000
225,1694.txt,0 days 00:00:00.368827000
1,1886.txt,0 days 00:00:00.473580000
5,1579.txt,0 days 00:00:00.392015000
47,1691.txt,0 days 00:00:00.423676000
1,1614.txt,0 days 00:00:00.538119000
1,1516.txt,0 days 00:00:00.671935000
1,1969.txt,0 days 00:00:00.384366000
1,2068.txt,0 days 00:00:00.342341000
1,2244.txt,0 days 00:00:00.515645000
1,1627.txt,0 days 00:00:00.382604000
1,2023.txt,0 days 00:00:00.547117000
1,1631.txt,0 days 00:00:00.386741000
1,1925.txt,0 days 00:00:00.339897000
114,1760.txt,0 days 00:00:00.299998000
74,2199.txt,0 days 00:00:00.111623000
1,1659.txt,0 days 00:00:00.374447000
1,1929.txt,0 days 00:00:00.552179000
1,1607.txt,0 days 00:00:00.360692000
1,2221.txt,0 days 00:00:00.319044000
1,1609.txt,0 days 00:00:00.349986000
12,2248.txt,0 days 00:00:00.458021000
1,1844.txt,0 days 00:00:00.241740000
1,1978.txt,0 days 00:00:00.578752000
1,1782.txt,0 days 00:00:00.433598000
1,2222.txt,0 days 00:00:00.388343000
1,1933.txt,0 days 00:00:00.627363000
62,2078.txt,0 days 00:00:00.699840000
16,1810.txt,0 days 00:00:00.118411000
1,2242.txt,0 days 00:00:00.513919000
-1,1800.txt,0 days 00:00:00.391479000
4,1518.txt,0 days 00:00:00.725904000
2,1789.txt,0 days 00:00:00.349022000
1,1703.txt,0 days 00:00:00.521350000
-1,1710.txt,0 days 00:00:00.250066000
1,2194.txt,0 days 00:00:00.338220000
1,1794.txt,0 days 00:00:00.484590000
1,2243.txt,0 days 00:00:00.437455000
1,1841.txt,0 days 00:00:00.380416000
1,1582.txt,0 days 00:00:00.261003000
1,1553.txt,0 days 00:00:00.629871000
1,2025.txt,0 days 00:00:00.447003000
1,1987.txt,0 days 00:00:00.494771000
1,2181.txt,0 days 00:00:00.532532000
143,1529.txt,0 days 00:00:00.333304000
1,1667.txt,0 days 00:00:00.605406000
1,1887.txt,0 days 00:00:00.499744000
1,2183.txt,0 days 00:00:00.497278000
-1,1525.txt,0 days 00:00:00.330213000
3,1976.txt,0 days 00:00:00.505695000
30,1696.txt,0 days 00:00:00.371643000
1,1950.txt,0 days 00:00:00.314710000
129,2197.txt,0 days 00:00:00.226425000
1,2052.txt,0 days 00:00:00.242001000
1,1704.txt,0 days 00:00:00.532240000
1,2024.txt,0 days 00:00:00.538961000
1,1621.txt,0 days 00:00:00.435464000
1,2192.txt,0 days 00:00:00.381712000
1,1608.txt,0 days 00:00:00.564725000
282,1524.txt,0 days 00:00:00.477436000
1,2049.txt,0 days 00:00:00.311706000
1,1940.txt,0 days 00:00:00.375161000
1,2155.txt,0 days 00:00:00.487390000
1,2086.txt,0 days 00:00:00.406697000
1,1639.txt,0 days 00:00:00.234098000
1,2136.txt,0 days 00:00:00.569983000
1,1848.txt,0 days 00:00:00.302807000
15,1962.txt,0 days 00:00:00.335166000
1,2084.txt,0 days 00:00:00.576773000
1,1979.txt,0 days 00:00:00.504361000
42,1515.txt,0 days 00:00:00.423187000
33,1517.txt,0 days 00:00:00.496407000
1,1835.txt,0 days 00:00:00.373022000
1,1948.txt,0 days 00:00:00.431191000
1,2083.txt,0 days 00:00:00.159835000
1,1651.txt,0 days 00:00:00.312401000
1,1623.txt,0 days 00:00:00.423156000
109,2095.txt,0 days 00:00:00.356387000
1,1653.txt,0 days 00:00:00.481396000
1,1944.txt,0 days 00:00:00.413373000
-1,1767.txt,0 days 00:00:00.645702000
1,2096.txt,0 days 00:00:00.384892000
-1,1523.txt,0 days 00:00:00.407975000
1,2065.txt,0 days 00:00:00.365948000
1,1980.txt,0 days 00:00:00.281351000
